,group3_state_prob_median_pos,group3_state_prob_median_neg,group3_state_prob_median_delta,group3_state_prob_median_pos_ci_lower,group3_state_prob_median_pos_ci_upper,group3_state_prob_median_neg_ci_lower,group3_state_prob_median_neg_ci_upper,group3_state_prob_median_delta_ci_lower,group3_state_prob_median_delta_ci_upper,group3_state_prob_lr_b0,group3_state_prob_lr_b1,group3_state_prob_lr_b0_ci_lower,group3_state_prob_lr_b0_ci_upper,group3_state_prob_lr_b1_ci_lower,group3_state_prob_lr_b1_ci_upper,group3_state_prob_pearson,group3_state_prob_spearman,group3_state_prob_pearson_ci_lower,group3_state_prob_pearson_ci_upper,group3_state_prob_spearman_ci_lower,group3_state_prob_spearman_ci_upper
GAPDH,0.37616587396347667,0.2804268169325067,0.09573905703096997,0.3562816574064824,0.39605009052047097,0.25273434502343206,0.3081192888415813,0.04816236856490108,0.1433157454970389,0.3282963454479917,0.053454083144959,0.3164034639563437,0.34018922693963966,0.04156120165331101,0.065346964636607,0.9973368096485762,1.0,0.997242143269245,1.0,1.0,1.0
CCN2,0.3797803144193344,0.30962119305362834,0.07015912136570607,0.3514484475718205,0.40811218126684834,0.29829511569508266,0.32094727041217397,0.03050117715964651,0.10981706557176568,0.34470075373648135,0.04024632783342731,0.3181258157340158,0.37127569173894687,0.01367138983096176,0.06682126583589286,0.9772491002839079,1.0,0.9681199157261932,1.0,1.0,1.0
CRABP1,0.2604248712789466,0.4890081389192051,-0.2285832676402585,0.23295768300907682,0.28789205954881636,0.397389441894216,0.5806268359441942,-0.34766915293511735,-0.10949738234539963,0.37471650509907584,-0.12885643950455067,0.27694059874325905,0.4724924114548926,-0.2266323458603675,-0.031080533148733838,-0.9702782824136874,-1.0,-1.0,-0.9640867775134957,-1.0,-1.0
MDK,0.5060764990398819,0.30134268839201395,0.204733810647868,0.3968281545307915,0.6153248435489724,0.3002009116688647,0.30248446511516314,0.09434368941562837,0.31512393188010773,0.40370959371594795,0.11624794875917535,0.23892164722542814,0.5684975402064678,-0.048539997731344486,0.2810358952496952,0.9064395418015117,1.0,0.8281656930878349,1.0,1.0,1.0
PLAU,0.3431153025391863,0.2617696218317034,0.08134568070748294,0.3355689361469271,0.3506616689314455,0.20884002770272375,0.31469921596068295,0.020869720186244167,0.14182164122872176,0.30244246218544485,0.04652938791606841,0.21023405467780132,0.3946508696930884,-0.045679019591575165,0.13873779542371198,0.8379220545256608,0.7999999999999999,0.4986375530277895,1.0,0.3333333333333334,1.0
NFKB1,0.3734658599858961,0.2480474086955693,0.1254184512903268,0.3574768755267864,0.3894548444450057,0.19992162210451925,0.29617319528661934,0.06130368024016708,0.18953322234048647,0.3107566343407327,0.07042603903591879,0.2618415576095404,0.35967171107192497,0.02151096230472651,0.11934111576711107,0.9749179275376174,1.0,0.9749179275376173,1.0,1.0,1.0
LEF1,0.3425222645246258,0.33913550545172705,0.0033867590728987595,0.3342472182772147,0.3507973107720369,0.3340670776200362,0.3442039332834179,-0.00995671500620321,0.01673023315200073,0.34082888498817643,0.002232437183153347,0.320427224246113,0.3612305457302399,-0.018169223558910107,0.0226340979252168,0.31587160644810774,0.39999999999999997,-1.0,1.0,-1.0,1.0
TPM1,0.28820215628661433,0.33075621487984724,-0.04255405859323291,0.2593006361567725,0.31710367641645615,0.32267942950669243,0.33883300025300206,-0.07953236409622955,-0.0055757530902362795,0.3094791855832308,-0.023687045907361755,0.25322276248173153,0.36573560868473004,-0.07994346900886103,0.03256937719413752,-0.7882650721515403,-0.7999999999999999,-1.0,1.0,-1.0,1.0
POSTN,0.1481924655241348,0.5003614277995333,-0.3521689622753985,0.05724621622414014,0.2391387148241294,0.4234542394041785,0.5772686161948881,-0.520022399970748,-0.18431552458004907,0.32427694666183404,-0.19502335799884202,0.29982321122977507,0.348730682093893,-0.21947709343090097,-0.17056962256678307,-0.9991518127307721,-1.0,-1.0,-0.9978345136308393,-1.0,-1.0
MT2A,0.3203461370637628,0.30135595686853844,0.01899018019522436,0.31003788940088434,0.3306543847266413,0.2765887214618541,0.3261231922752228,-0.01608530287433846,0.054065663264787234,0.3108510469661506,0.01172845123416158,0.2570732124352311,0.3646288814970701,-0.042049383296757926,0.06550628576508108,0.5528877518832717,0.39999999999999997,-1.0,1.0,-1.0,1.0
TNFAIP6,0.3403954522331035,0.3092771043220676,0.031118347911035904,0.33812695564314244,0.34266394882306456,0.2938366134517463,0.32471759519238896,0.013409360450753471,0.04882733537131828,0.32483627827758554,0.01787753952323539,0.3045957628492322,0.3450767937059389,-0.002362975905118001,0.03811805495158878,0.9372110907522051,1.0,0.9372110907522051,1.0,1.0,1.0
IL6,0.3249975721638062,0.3661597264164904,-0.04116215425268421,0.32408706007172394,0.32590808425588846,0.3462667279587035,0.3860527248742774,-0.061965664802553444,-0.020358643702815038,0.34557864929014837,-0.02306018417933224,0.3167013335095758,0.37445596507072093,-0.05193749995990479,0.005817131601240311,-0.9247325188784187,-1.0,-1.0,-0.8598117590211067,-1.0,-1.0
SOD2,0.4100838003266882,0.24838856025292935,0.16169524007375882,0.3753494576416483,0.44481814301172806,0.20688133634470496,0.28989578416115375,0.08545367348049454,0.2379368066670231,0.3292361802898087,0.0893579050039981,0.31700401096433106,0.3414683496152864,0.07712573567852044,0.10159007432947575,0.9989893293821933,1.0,0.9971922544811433,1.0,1.0,1.0
COL1A1,0.3502593624826922,0.31045857760529544,0.039800784877396744,0.3428472725737833,0.3576714523916011,0.29843567889523703,0.32248147631535384,0.020365796258429436,0.05923577349636405,0.33035897004399384,0.022144981859147726,0.3233086676636043,0.3374092724243834,0.015094679478758175,0.029195284239537277,0.9945694563809295,1.0,0.9940730415223564,1.0,1.0,1.0
ACTB,0.23812176066350163,0.4170907324113948,-0.1789689717478932,0.19650727316547772,0.27973624816152554,0.38188096857786613,0.45230049624492347,-0.25579322307944574,-0.1021447204163406,0.32760624653744824,-0.09720891520809713,0.307506240559655,0.3477062525152415,-0.11730892118589042,-0.07710890923030383,-0.9976985248174208,-1.0,-1.0,-0.9913798271690142,-1.0,-1.0
UBC,0.2834414065819235,0.42768833594811306,-0.14424692936618955,0.2648366888620264,0.3020461243018206,0.38330882657099263,0.47206784532523344,-0.20723115646320706,-0.08126270226917204,0.3555648712650183,-0.0785879260308254,0.3143435014125755,0.3967862411174611,-0.11980929588326822,-0.03736655617838258,-0.985461865393807,-1.0,-1.0,-0.9665856353960389,-1.0,-1.0
HPRT,0.2573789088501982,0.4200854663150143,-0.1627065574648161,0.22097204705872125,0.2937857706416752,0.3753093899161989,0.46486154271382973,-0.24388949565510848,-0.08152361927452367,0.3387321875826063,-0.09091748445205364,0.32598831306909715,0.3514760620961155,-0.1036613589655628,-0.07817360993854447,-0.9989403928965084,-1.0,-1.0,-0.9988978755805951,-1.0,-1.0
SDHA,0.3907941373448863,0.28409225526707566,0.10670188207781067,0.3622810008846686,0.41930727380510413,0.26195016044582686,0.30623435008832445,0.05604665079634413,0.15735711335927727,0.33744319630598096,0.05904389659258055,0.327002349617612,0.34788404299434994,0.0486030499042116,0.0694847432809495,0.9983151928716733,1.0,0.9976058482919701,1.0,1.0,1.0
